seed	n_docs	lang	bytes_gmean	bytes_gstd	bytes_total	chars_gmean	chars_gstd	chars_total	tresholded_vocab	vocab_size	words_gmean	words_gstd	words_total
1708168830	1000	it	5181.57838527399	4.69263827047309	12999326	5139.03899782659	4.70013043654747	12907876	12301	144348	897.135359494756	4.78317729124749	2288410
1708168830	1000	pl	3054.28243705603	4.14142909081361	8013527	2893.07246726021	4.13972830699238	7578417	15621	152800	479.252307148391	4.17234513663763	1259656
1708168831	1000	ar	10554.3100277547	4.23851807229369	24823810	5930.00899343314	4.21970193256653	13833619	18876	212738	1149.32393476372	4.15020413494831	2625052
1708168831	1000	zh	7580.59076168422	4.11133443407221	16736753	2893.04963156305	4.054851897153	6230970	11898	134997	1703.15909446074	4.13549891847535	3763952
1708168833	1000	nl	5635.06500865904	3.71074413988876	11778472	5614.04121889955	3.71276205427541	11740060	10201	145341	1000.23892087259	3.74296822825751	2094155
1708168834	1000	es	6896.35401133615	4.41688162714947	17180461	6761.49038993284	4.41412203490917	16833028	11359	153048	1269.38376817505	4.47989536757394	3160995
1708168835	1000	pl	3190.39915135429	3.98246308110723	7904523	3021.27754986133	3.97902597268219	7474377	15286	151984	500.632724946077	3.99127469986785	1237794
1708168836	1000	uk	7169.11999851301	3.54425768256287	14859483	3993.79117876354	3.54557120830721	8276837	12718	144140	701.320717274357	3.53041959714503	1455522
1708168839	1000	pt	7184.53714640271	4.6758475749944	17911496	6961.92547957163	4.68284680544793	17379160	10601	136051	1310.43664043483	4.65135698716199	3246976
1708168840	1000	de	11644.6336566859	3.87455058138925	24245673	11443.4831812585	3.87443575999118	23820250	19340	283709	1924.54502225503	3.87341895208945	3965091
1708168840	1000	fr	10244.8360760497	4.42566910254783	23765231	9908.91366337024	4.42709950675393	22991255	12721	169748	1831.23477462441	4.43654919615834	4236761
1708168840	1000	it	5295.89591250928	4.54381999929369	13146140	5251.37849559963	4.55072095896969	13054221	11843	140092	918.350270541392	4.63203376082337	2308990
1708168840	1000	ru	16476.1293279617	3.97088852825277	36265248	9171.57963976355	3.96605430911002	20112811	23894	264872	1585.46257606169	3.92488993300998	3423295
1708168841	1000	ar	10393.7679968302	4.19683900696112	24287801	5838.89425873178	4.18265013593187	13547815	18744	202998	1127.23170137828	4.14293770495858	2570839
1708168841	1000	nl	5871.50241391612	3.70340867143981	12031012	5850.48245504134	3.70582615311766	11993938	10385	145228	1042.04198918491	3.72796242178985	2135709
1708168841	1000	vi	5263.0630355003	5.19533108510513	16907577	4081.06781764423	5.15497440733588	12989889	3343	60243	1013.50190643264	5.05227500253574	3165627
1708168842	1000	uk	7597.08041243855	3.46878039094977	15614528	4235.34238016296	3.46953227518815	8700224	13492	147601	742.678612046193	3.46973118509524	1527311
1708168846	1000	zh	7320.11728617518	4.07667318695238	16247627	2801.58961295785	4.02666629407133	6075057	11658	132410	1645.30213449761	4.10236007570356	3649205
1708168847	1000	es	6708.92206112635	4.57075240152833	17444383	6576.60264204116	4.56823160691145	17087474	11145	149342	1231.33566053642	4.64658176124489	3202031
1708168847	1000	ja	11152.2656471872	3.74342235080066	22313395	4269.35275979952	3.72931951452491	8483098	8722	118897	2235.87941604606	3.78549370165941	4509724
1708168849	1000	it	5319.02914870077	4.42629157232541	12454934	5274.78056855553	4.43295484372273	12367195	11391	136062	922.44744224232	4.52060423352376	2189707
1708168851	1000	ar	10880.9804511221	4.18910616464887	25299843	6117.09236306739	4.1679521110814	14099898	19283	219570	1184.6619221611	4.09451911325724	2670298
1708168851	1000	pt	7195.96500105772	4.74786792533458	17911749	6971.44817303177	4.75774871136233	17375196	10306	132592	1309.1713215198	4.74032102126777	3243498
1708168853	1000	vi	5596.15783143772	5.33363002153877	18448622	4333.82966327164	5.29221043850362	14135865	3453	64156	1078.59600670312	5.20514078004131	3467978
