metric,score,lang,partition,task
recall,0.8514851485148515,zu,pre_filtered,masakhaner2
f1,0.8182273410115173,zu,pre_filtered,masakhaner2
precision,0.8646867475966943,zu,pre_filtered,masakhapos
recall,0.876084128360798,zu,pre_filtered,masakhapos
f1,0.8703481268397341,zu,pre_filtered,masakhapos
precision,0.6584921241526762,zu,pre_filtered,sib200
recall,0.6911764705882353,zu,pre_filtered,sib200
f1,0.6744385459593011,zu,pre_filtered,sib200
precision,0.4301991127324313,ary,pre_filtered,AfriSenti-Twitter
recall,0.3779128672745694,ary,pre_filtered,AfriSenti-Twitter
f1,0.4023644846603572,ary,pre_filtered,AfriSenti-Twitter
precision,0.6012739632073092,ary,pre_filtered,sib200
recall,0.5882352941176471,ary,pre_filtered,sib200
f1,0.5946831677257167,ary,pre_filtered,sib200
precision,0.7019602421388135,so,pre_filtered,masakhanews
recall,0.7074829931972789,so,pre_filtered,masakhanews
f1,0.7047107975163405,so,pre_filtered,masakhanews
precision,0.7228823161079244,so,pre_filtered,sib200
recall,0.7205882352941176,so,pre_filtered,sib200
f1,0.7217334527311048,so,pre_filtered,sib200
precision,0.6345975948196114,rw,pre_filtered,masakhaner
recall,0.7086776859504132,rw,pre_filtered,masakhaner
f1,0.669594924353343,rw,pre_filtered,masakhaner
precision,0.6164412169746362,rw,pre_filtered,AfriSenti-Twitter
recall,0.6140350877192983,rw,pre_filtered,AfriSenti-Twitter
f1,0.6152357998197502,rw,pre_filtered,AfriSenti-Twitter
precision,0.7537515375153752,rw,pre_filtered,masakhaner2
recall,0.810367627611743,rw,pre_filtered,masakhaner2
f1,0.7810349222533777,rw,pre_filtered,masakhaner2
precision,0.9704782045700686,rw,pre_filtered,masakhapos
recall,0.9711946277097078,rw,pre_filtered,masakhapos
f1,0.9708362839698063,rw,pre_filtered,masakhapos
precision,0.7858577918375818,rw,pre_filtered,sib200
recall,0.7696078431372549,rw,pre_filtered,sib200
f1,0.7776479358844997,rw,pre_filtered,sib200
precision,0.6435117811387681,tw,pre_filtered,AfriSenti-Twitter
recall,0.6501580611169653,tw,pre_filtered,AfriSenti-Twitter
f1,0.6468178483647451,tw,pre_filtered,AfriSenti-Twitter
precision,0.7493573264781491,tw,pre_filtered,masakhaner2
recall,0.7931972789115647,tw,pre_filtered,masakhaner2
f1,0.7706543291473893,tw,pre_filtered,masakhaner2
precision,0.8284263093044003,tw,pre_filtered,masakhapos
recall,0.8360022475066723,tw,pre_filtered,masakhapos
f1,0.8321970368004792,tw,pre_filtered,masakhapos
precision,0.6632469031345057,tw,pre_filtered,sib200
recall,0.6617647058823529,tw,pre_filtered,sib200
f1,0.662504975493544,tw,pre_filtered,sib200
precision,0.7493287167891465,ln,pre_filtered,masakhanews
recall,0.7714285714285715,ln,pre_filtered,masakhanews
f1,0.7602180650411577,ln,pre_filtered,masakhanews
precision,0.5378618113912231,ln,pre_filtered,sib200
recall,0.5441176470588235,ln,pre_filtered,sib200
f1,0.5409716440942963,ln,pre_filtered,sib200
precision,0.7387978142076502,lg,pre_filtered,masakhaner
recall,0.7934272300469484,lg,pre_filtered,masakhaner
f1,0.7651386530843236,lg,pre_filtered,masakhaner
precision,0.832625318606627,lg,pre_filtered,masakhaner2
recall,0.8645787384208204,lg,pre_filtered,masakhaner2
f1,0.8483012334992426,lg,pre_filtered,masakhaner2
precision,0.8616641753861485,lg,pre_filtered,masakhanews
recall,0.8609865470852018,lg,pre_filtered,masakhanews
f1,0.8613252279584797,lg,pre_filtered,masakhanews
precision,0.8976096851981865,lg,pre_filtered,masakhapos
recall,0.9038144329896908,lg,pre_filtered,masakhapos
f1,0.9007013734106597,lg,pre_filtered,masakhapos
precision,0.5488313408763666,lg,pre_filtered,sib200
recall,0.5490196078431373,lg,pre_filtered,sib200
f1,0.5489254582171003,lg,pre_filtered,sib200
precision,0.5610200364298725,wo,pre_filtered,masakhaner
recall,0.6062992125984252,wo,pre_filtered,masakhaner
f1,0.5827814569536424,wo,pre_filtered,masakhaner
precision,0.6989117291414753,wo,pre_filtered,masakhaner2
recall,0.760026298487837,wo,pre_filtered,masakhaner2
f1,0.7281889763779528,wo,pre_filtered,masakhaner2
precision,0.9273381843580483,wo,pre_filtered,masakhapos
recall,0.9283987567629791,wo,pre_filtered,masakhapos
f1,0.9278681674965931,wo,pre_filtered,masakhapos
precision,0.5605993925089184,wo,pre_filtered,sib200
recall,0.5490196078431373,wo,pre_filtered,sib200
f1,0.5547490778991638,wo,pre_filtered,sib200
precision,0.8234633592528329,om,pre_filtered,masakhanews
recall,0.8276923076923077,om,pre_filtered,masakhanews
f1,0.8255724178702556,om,pre_filtered,masakhanews
precision,0.7641277641277642,tn,pre_filtered,masakhaner2
recall,0.8260292164674635,tn,pre_filtered,masakhaner2
f1,0.793873643905552,tn,pre_filtered,masakhaner2
precision,0.8817106882125698,tn,pre_filtered,masakhapos
recall,0.8851526125193999,tn,pre_filtered,masakhapos
f1,0.8834282978590509,tn,pre_filtered,masakhapos
precision,0.5812599308729339,tn,pre_filtered,sib200
recall,0.6029411764705882,tn,pre_filtered,sib200
f1,0.5919020753863792,tn,pre_filtered,sib200
precision,0.8666283414774361,ny,pre_filtered,masakhaner2
recall,0.8734067207415991,ny,pre_filtered,masakhaner2
f1,0.8700043283797432,ny,pre_filtered,masakhaner2
precision,0.7951505679570753,ny,pre_filtered,masakhapos
recall,0.8094316561417804,ny,pre_filtered,masakhapos
f1,0.8022275598435401,ny,pre_filtered,masakhapos
precision,0.6004585595222546,ny,pre_filtered,sib200
recall,0.6127450980392157,ny,pre_filtered,sib200
f1,0.6065396137405035,ny,pre_filtered,sib200
precision,0.7748344370860927,ee,pre_filtered,masakhaner2
recall,0.85,ee,pre_filtered,masakhaner2
f1,0.8106786223761973,ee,pre_filtered,masakhaner2
precision,0.8847820123000474,ee,pre_filtered,masakhapos
recall,0.8824763903462749,ee,pre_filtered,masakhapos
f1,0.8836276973290124,ee,pre_filtered,masakhapos
precision,0.5777120907020582,ee,pre_filtered,sib200
recall,0.5735294117647058,ee,pre_filtered,sib200
f1,0.5756131530000593,ee,pre_filtered,sib200
precision,0.7227648384673178,bm,pre_filtered,masakhaner2
recall,0.7360367253251722,bm,pre_filtered,masakhaner2
f1,0.7293404094010614,bm,pre_filtered,masakhaner2
precision,0.8930385800769058,bm,pre_filtered,masakhapos
recall,0.8958402662229618,bm,pre_filtered,masakhapos
f1,0.8944372291932896,bm,pre_filtered,masakhapos
precision,0.5095164856348506,bm,pre_filtered,sib200
recall,0.4950980392156863,bm,pre_filtered,sib200
f1,0.5022037940839297,bm,pre_filtered,sib200
precision,0.4330455248212084,ts,pre_filtered,AfriSenti-Twitter
recall,0.5118110236220472,ts,pre_filtered,AfriSenti-Twitter
f1,0.469145234160379,ts,pre_filtered,AfriSenti-Twitter
precision,0.6198309600022672,ts,pre_filtered,sib200
recall,0.6029411764705882,ts,pre_filtered,sib200
f1,0.6112694214879297,ts,pre_filtered,sib200
precision,0.7616714913390105,rn,pre_filtered,masakhanews
recall,0.7670807453416149,rn,pre_filtered,masakhanews
f1,0.7643665484348164,rn,pre_filtered,masakhanews
precision,0.4901787327048489,rn,pre_filtered,sib200
recall,0.5147058823529411,rn,pre_filtered,sib200
f1,0.5021429790981252,rn,pre_filtered,sib200
precision,0.7293946024799417,fon,pre_filtered,masakhaner2
recall,0.7656967840735069,fon,pre_filtered,masakhaner2
f1,0.7471049682480388,fon,pre_filtered,masakhaner2
precision,0.8847378865657319,fon,pre_filtered,masakhapos
recall,0.8857388751075786,fon,pre_filtered,masakhapos
f1,0.8852380978682248,fon,pre_filtered,masakhapos
precision,0.46282605580518293,fon,pre_filtered,sib200
recall,0.46568627450980393,fon,pre_filtered,sib200
f1,0.4642517598034819,fon,pre_filtered,sib200
precision,0.6156051642876788,ti,pre_filtered,masakhanews
recall,0.6286764705882353,ti,pre_filtered,masakhanews
f1,0.6220721597307249,ti,pre_filtered,masakhanews
precision,0.3663969223789762,ti,pre_filtered,sib200
recall,0.39705882352941174,ti,pre_filtered,sib200
f1,0.3811121514882166,ti,pre_filtered,sib200
precision,0.8812108972189864,pcm,absolute_lo,masakhanews
recall,0.8852459016393442,pcm,absolute_lo,masakhanews
f1,0.8832237909777493,pcm,absolute_lo,masakhanews
precision,0.5733581578697633,pcm,absolute_lo,AfriSenti-Twitter
recall,0.6376986037554164,pcm,absolute_lo,AfriSenti-Twitter
f1,0.6038192565551895,pcm,absolute_lo,AfriSenti-Twitter
precision,0.8571257495061777,pcm,absolute_lo,masakhapos
recall,0.8561580273100888,pcm,absolute_lo,masakhapos
f1,0.8566416151065759,pcm,absolute_lo,masakhapos
precision,0.7523645743766122,pcm,absolute_lo,masakhaner2
recall,0.7478632478632479,pcm,absolute_lo,masakhaner2
f1,0.7501071581654523,pcm,absolute_lo,masakhaner2
precision,0.8623088096565517,ha,absolute_lo,masakhanews
recall,0.8618524332810047,ha,absolute_lo,masakhanews
f1,0.8620805610685699,ha,absolute_lo,masakhanews
precision,0.7353747466997242,ha,absolute_lo,AfriSenti-Twitter
recall,0.7356213464076937,ha,absolute_lo,AfriSenti-Twitter
f1,0.7354980258835603,ha,absolute_lo,AfriSenti-Twitter
precision,0.9158490485437306,ha,absolute_lo,masakhapos
recall,0.9168772270813087,ha,absolute_lo,masakhapos
f1,0.9163628494030831,ha,absolute_lo,masakhapos
precision,0.8186157517899761,ha,absolute_lo,masakhaner
recall,0.8963414634146342,ha,absolute_lo,masakhaner
f1,0.8557172557172558,ha,absolute_lo,masakhaner
precision,0.7872441694431224,ha,absolute_lo,masakhaner2
recall,0.8050620588951083,ha,absolute_lo,masakhaner2
f1,0.7960534231741067,ha,absolute_lo,masakhaner2
precision,0.7671965547352544,ha,absolute_lo,sib200
recall,0.7696078431372549,ha,absolute_lo,sib200
f1,0.768400307247317,ha,absolute_lo,sib200
precision,0.8659456117773617,ig,absolute_lo,masakhanews
recall,0.8589743589743589,ig,absolute_lo,masakhanews
f1,0.8624458982395098,ig,absolute_lo,masakhanews
precision,0.7487671723446566,ig,absolute_lo,AfriSenti-Twitter
recall,0.7395437262357415,ig,absolute_lo,AfriSenti-Twitter
f1,0.744126869254198,ig,absolute_lo,AfriSenti-Twitter
precision,0.8255347846140841,ig,absolute_lo,masakhapos
recall,0.7847001001183217,ig,absolute_lo,masakhapos
f1,0.8045996696258162,ig,absolute_lo,masakhapos
precision,0.8109243697478992,ig,absolute_lo,masakhaner
recall,0.818490245971162,ig,absolute_lo,masakhaner
f1,0.814689742507387,ig,absolute_lo,masakhaner
precision,0.8431372549019608,ig,absolute_lo,masakhaner2
recall,0.8623881518049985,ig,absolute_lo,masakhaner2
f1,0.8526540573520438,ig,absolute_lo,masakhaner2
precision,0.7600897399202854,ig,absolute_lo,sib200
recall,0.7598039215686274,ig,absolute_lo,sib200
f1,0.7599468038701651,ig,absolute_lo,sib200
precision,0.8045471061687314,sw,absolute_lo,masakhanews
recall,0.8004201680672269,sw,absolute_lo,masakhanews
f1,0.8024783312097632,sw,absolute_lo,masakhanews
precision,0.5232751203622434,sw,absolute_lo,AfriSenti-Twitter
recall,0.5641711229946524,sw,absolute_lo,AfriSenti-Twitter
f1,0.5429541259503707,sw,absolute_lo,AfriSenti-Twitter
precision,0.9012226677978462,sw,absolute_lo,masakhapos
recall,0.9109120318526813,sw,absolute_lo,masakhapos
f1,0.9060414456317716,sw,absolute_lo,masakhapos
precision,0.8821183248393529,sw,absolute_lo,masakhaner2
recall,0.9193995381062355,sw,absolute_lo,masakhaner2
f1,0.9003731765238041,sw,absolute_lo,masakhaner2
precision,0.787733030481671,sw,absolute_lo,sib200
recall,0.7843137254901961,sw,absolute_lo,sib200
f1,0.7860196593794161,sw,absolute_lo,sib200
precision,0.8513889952240632,yo,absolute_lo,masakhanews
recall,0.8345498783454988,yo,absolute_lo,masakhanews
f1,0.8428853424377987,yo,absolute_lo,masakhanews
precision,0.6831643522643842,yo,absolute_lo,AfriSenti-Twitter
recall,0.6664451827242525,yo,absolute_lo,AfriSenti-Twitter
f1,0.6747012076783624,yo,absolute_lo,AfriSenti-Twitter
precision,0.9261928419705239,yo,absolute_lo,masakhapos
recall,0.9260476108133033,yo,absolute_lo,masakhapos
f1,0.9261202206982444,yo,absolute_lo,masakhapos
precision,0.7069805194805194,yo,absolute_lo,masakhaner
recall,0.7714791851195748,yo,absolute_lo,masakhaner
f1,0.7378229563744175,yo,absolute_lo,masakhaner
precision,0.8092566619915849,yo,absolute_lo,masakhaner2
recall,0.8616226978596316,yo,absolute_lo,masakhaner2
f1,0.834619093539055,yo,absolute_lo,masakhaner2
precision,0.6655365409152464,yo,absolute_lo,sib200
recall,0.6617647058823529,yo,absolute_lo,sib200
f1,0.6636452641257825,yo,absolute_lo,sib200
precision,0.8562886175585646,am,absolute_lo,masakhanews
recall,0.8563829787234043,am,absolute_lo,masakhanews
f1,0.8563357955415283,am,absolute_lo,masakhanews
precision,0.7977462198498512,am,absolute_lo,AfriSenti-Twitter
recall,0.2661330665332666,am,absolute_lo,AfriSenti-Twitter
f1,0.39911792723353734,am,absolute_lo,AfriSenti-Twitter
precision,0.5068493150684932,am,absolute_lo,masakhaner
recall,0.5967741935483871,am,absolute_lo,masakhaner
f1,0.548148148148148,am,absolute_lo,masakhaner
precision,0.8966842808865634,sn,absolute_lo,masakhanews
recall,0.8943089430894309,sn,absolute_lo,masakhanews
f1,0.8954950368202146,sn,absolute_lo,masakhanews
precision,0.8664537718403854,sn,absolute_lo,masakhapos
recall,0.8737657308809293,sn,absolute_lo,masakhapos
f1,0.8700943898660508,sn,absolute_lo,masakhapos
precision,0.8932726353060192,sn,absolute_lo,masakhaner2
recall,0.9162127107652399,sn,absolute_lo,masakhaner2
f1,0.9045972595722883,sn,absolute_lo,masakhaner2
precision,0.590719487366273,sn,absolute_lo,sib200
recall,0.5833333333333334,sn,absolute_lo,sib200
f1,0.587003176611748,sn,absolute_lo,sib200
precision,0.8576989975019735,zu,absolute_lo,masakhapos
recall,0.8686036426712923,zu,absolute_lo,masakhapos
f1,0.8631168790554077,zu,absolute_lo,masakhapos
precision,0.810126582278481,zu,absolute_lo,masakhaner2
recall,0.8337675872850443,zu,absolute_lo,masakhaner2
f1,0.8217770929635335,zu,absolute_lo,masakhaner2
precision,0.635020290167349,zu,absolute_lo,sib200
recall,0.6274509803921569,zu,absolute_lo,sib200
f1,0.6312129438919134,zu,absolute_lo,sib200
precision,0.43250159315132564,ary,absolute_lo,AfriSenti-Twitter
recall,0.37487335359675783,ary,absolute_lo,AfriSenti-Twitter
f1,0.4016307994534953,ary,absolute_lo,AfriSenti-Twitter
precision,0.644248861160626,ary,absolute_lo,sib200
recall,0.6078431372549019,ary,absolute_lo,sib200
f1,0.6255167342916168,ary,absolute_lo,sib200
precision,0.6848827204148987,so,absolute_lo,masakhanews
recall,0.6870748299319728,so,absolute_lo,masakhanews
f1,0.6859770239005434,so,absolute_lo,masakhanews
precision,0.7115310132836502,so,absolute_lo,sib200
recall,0.7009803921568627,so,absolute_lo,sib200
f1,0.706216299284032,so,absolute_lo,sib200
precision,0.5937269260341091,rw,absolute_lo,AfriSenti-Twitter
recall,0.5935672514619883,rw,absolute_lo,AfriSenti-Twitter
f1,0.5936470780110429,rw,absolute_lo,AfriSenti-Twitter
precision,0.9598930810334524,rw,absolute_lo,masakhapos
recall,0.9607681432610744,rw,absolute_lo,masakhapos
f1,0.9603304128060437,rw,absolute_lo,masakhapos
precision,0.6185286103542235,rw,absolute_lo,masakhaner
recall,0.7035123966942148,rw,absolute_lo,masakhaner
f1,0.6582890285161914,rw,absolute_lo,masakhaner
precision,0.7509940357852882,rw,absolute_lo,masakhaner2
recall,0.7992594551705898,rw,absolute_lo,masakhaner2
f1,0.7743754003843689,rw,absolute_lo,masakhaner2
precision,0.6915802159290987,rw,absolute_lo,sib200
recall,0.6764705882352942,rw,absolute_lo,sib200
f1,0.6839419618881808,rw,absolute_lo,sib200
precision,0.6256247332953795,tw,absolute_lo,AfriSenti-Twitter
recall,0.6459430979978925,tw,absolute_lo,AfriSenti-Twitter
f1,0.6356215822130493,tw,absolute_lo,AfriSenti-Twitter
precision,0.8226269656533706,tw,absolute_lo,masakhapos
recall,0.8307346537435033,tw,absolute_lo,masakhapos
f1,0.8266609306213506,tw,absolute_lo,masakhapos
precision,0.7195902688860435,tw,absolute_lo,masakhaner2
recall,0.7646258503401361,tw,absolute_lo,masakhaner2
f1,0.741424802110818,tw,absolute_lo,masakhaner2
precision,0.6671670967014103,tw,absolute_lo,sib200
recall,0.6666666666666666,tw,absolute_lo,sib200
f1,0.6669167878079398,tw,absolute_lo,sib200
precision,0.7619970337290186,ln,absolute_lo,masakhanews
recall,0.7771428571428571,ln,absolute_lo,masakhanews
f1,0.7694954246051012,ln,absolute_lo,masakhanews
precision,0.559523941036247,ln,absolute_lo,sib200
recall,0.5294117647058824,ln,absolute_lo,sib200
f1,0.5440515091151525,ln,absolute_lo,sib200
precision,0.8601520552193198,lg,absolute_lo,masakhanews
recall,0.8565022421524664,lg,absolute_lo,masakhanews
f1,0.8583232687155802,lg,absolute_lo,masakhanews
precision,0.8877943849380707,lg,absolute_lo,masakhapos
recall,0.8929896907216495,lg,absolute_lo,masakhapos
f1,0.8903844593697442,lg,absolute_lo,masakhapos
precision,0.7222844344904815,lg,absolute_lo,masakhaner
recall,0.7570422535211268,lg,absolute_lo,masakhaner
f1,0.7392550143266475,lg,absolute_lo,masakhaner
precision,0.8059196617336152,lg,absolute_lo,masakhaner2
recall,0.8407587119541244,lg,absolute_lo,masakhaner2
f1,0.8229706390328152,lg,absolute_lo,masakhaner2
precision,0.47477158930096197,lg,absolute_lo,sib200
recall,0.46568627450980393,lg,absolute_lo,sib200
f1,0.4701850474592899,lg,absolute_lo,sib200
precision,0.9240145219938626,wo,absolute_lo,masakhapos
recall,0.9250604351329573,wo,absolute_lo,masakhapos
f1,0.9245371827575828,wo,absolute_lo,masakhapos
precision,0.5594149908592322,wo,absolute_lo,masakhaner
recall,0.6023622047244095,wo,absolute_lo,masakhaner
f1,0.5800947867298579,wo,absolute_lo,masakhaner
precision,0.7222914072229141,wo,absolute_lo,masakhaner2
recall,0.7626561472715319,wo,absolute_lo,masakhaner2
f1,0.7419251678925488,wo,absolute_lo,masakhaner2
precision,0.49956681390504926,wo,absolute_lo,sib200
recall,0.4950980392156863,wo,absolute_lo,sib200
f1,0.4973223880297201,wo,absolute_lo,sib200
precision,0.7860364146997936,om,absolute_lo,masakhanews
recall,0.7938461538461539,om,absolute_lo,masakhanews
f1,0.7899219815644217,om,absolute_lo,masakhanews
precision,0.8801110278144836,tn,absolute_lo,masakhapos
recall,0.8825012933264356,tn,absolute_lo,masakhapos
f1,0.8813045398597823,tn,absolute_lo,masakhapos
precision,0.7350427350427351,tn,absolute_lo,masakhaner2
recall,0.799468791500664,tn,absolute_lo,masakhaner2
f1,0.7659033078880406,tn,absolute_lo,masakhaner2
precision,0.6158464556440078,tn,absolute_lo,sib200
recall,0.5931372549019608,tn,absolute_lo,sib200
f1,0.6042785737399726,tn,absolute_lo,sib200
precision,0.7877256052819157,ny,absolute_lo,masakhapos
recall,0.8005703809329803,ny,absolute_lo,masakhapos
f1,0.7940960543432132,ny,absolute_lo,masakhapos
precision,0.8629856850715747,ny,absolute_lo,masakhaner2
recall,0.8557358053302433,ny,absolute_lo,masakhaner2
f1,0.8593454545454545,ny,absolute_lo,masakhaner2
precision,0.6302754435107376,ny,absolute_lo,sib200
recall,0.6225490196078431,ny,absolute_lo,sib200
f1,0.6263884063435141,ny,absolute_lo,sib200
precision,0.884165544738165,ee,absolute_lo,masakhapos
recall,0.8806639320805113,ee,absolute_lo,masakhapos
f1,0.8824112646201235,ee,absolute_lo,masakhapos
precision,0.7532869296210364,ee,absolute_lo,masakhaner2
recall,0.8324786324786325,ee,absolute_lo,masakhaner2
f1,0.7909053999187983,ee,absolute_lo,masakhaner2
precision,0.5748961466394878,ee,absolute_lo,sib200
recall,0.5735294117647058,ee,absolute_lo,sib200
f1,0.5742119659303074,ee,absolute_lo,sib200
precision,0.8929563983347887,bm,absolute_lo,masakhapos
recall,0.8954409317803661,bm,absolute_lo,masakhapos
f1,0.8941969392368277,bm,absolute_lo,masakhapos
precision,0.7140695915279879,bm,absolute_lo,masakhaner2
recall,0.722264728385616,bm,absolute_lo,masakhaner2
f1,0.7181437809052873,bm,absolute_lo,masakhaner2
precision,0.38451331747634787,bm,absolute_lo,sib200
recall,0.38235294117647056,bm,absolute_lo,sib200
f1,0.383430086275744,bm,absolute_lo,sib200
precision,0.4630576819131374,ts,absolute_lo,AfriSenti-Twitter
recall,0.5078740157480315,ts,absolute_lo,AfriSenti-Twitter
f1,0.48443153108030457,ts,absolute_lo,AfriSenti-Twitter
precision,0.4930605170543251,ts,absolute_lo,sib200
recall,0.4803921568627451,ts,absolute_lo,sib200
f1,0.4866439049337209,ts,absolute_lo,sib200
precision,0.706819452422888,rn,absolute_lo,masakhanews
recall,0.7111801242236024,rn,absolute_lo,masakhanews
f1,0.7089930832935446,rn,absolute_lo,masakhanews
precision,0.44922714870029967,rn,absolute_lo,sib200
recall,0.44607843137254904,rn,absolute_lo,sib200
f1,0.44764725314431136,rn,absolute_lo,sib200
precision,0.8796321173583654,fon,absolute_lo,masakhapos
recall,0.8795119728648813,fon,absolute_lo,masakhapos
f1,0.8795720410088612,fon,absolute_lo,masakhapos
precision,0.7112417340191036,fon,absolute_lo,masakhaner2
recall,0.7411944869831547,fon,absolute_lo,masakhaner2
f1,0.7259092613423322,fon,absolute_lo,masakhaner2
precision,0.4564927697168284,fon,absolute_lo,sib200
recall,0.46078431372549017,fon,absolute_lo,sib200
f1,0.45862850257905563,fon,absolute_lo,sib200
precision,0.62837183241595,ti,absolute_lo,masakhanews
recall,0.625,ti,absolute_lo,masakhanews
f1,0.6266813807407069,ti,absolute_lo,masakhanews
precision,0.3817547852474323,ti,absolute_lo,sib200
recall,0.38235294117647056,ti,absolute_lo,sib200
f1,0.382053629088867,ti,absolute_lo,sib200
precision,0.5658215380350672,pcm,entropy_hi,AfriSenti-Twitter
recall,0.6304766490129995,pcm,entropy_hi,AfriSenti-Twitter
f1,0.596401919023216,pcm,entropy_hi,AfriSenti-Twitter
precision,0.8937229955346863,pcm,entropy_hi,masakhanews
recall,0.8950819672131147,pcm,entropy_hi,masakhanews
f1,0.8944019651622225,pcm,entropy_hi,masakhanews
precision,0.734289329396879,pcm,entropy_hi,masakhaner2
recall,0.744017094017094,pcm,entropy_hi,masakhaner2
f1,0.7391212056888133,pcm,entropy_hi,masakhaner2
precision,0.8618711844825979,pcm,entropy_hi,masakhapos
recall,0.862388969905873,pcm,entropy_hi,masakhapos
f1,0.8621299994502407,pcm,entropy_hi,masakhapos
precision,0.8251012145748988,ha,entropy_hi,masakhaner
recall,0.8876306620209059,ha,entropy_hi,masakhaner
f1,0.8552245069240454,ha,entropy_hi,masakhaner
precision,0.7278106532431861,ha,entropy_hi,AfriSenti-Twitter
recall,0.7288327361870639,ha,entropy_hi,AfriSenti-Twitter
f1,0.7283213361326636,ha,entropy_hi,AfriSenti-Twitter
precision,0.775044450404275,ha,entropy_hi,sib200
recall,0.7696078431372549,ha,entropy_hi,sib200
f1,0.7723165793429694,ha,entropy_hi,sib200
precision,0.8707346705303851,ha,entropy_hi,masakhanews
recall,0.8681318681318682,ha,entropy_hi,masakhanews
f1,0.8694313213436949,ha,entropy_hi,masakhanews
precision,0.8091584751858067,ha,entropy_hi,masakhaner2
recall,0.8213677293745437,ha,entropy_hi,masakhaner2
f1,0.8152173913043477,ha,entropy_hi,masakhaner2
precision,0.9157284474979155,ha,entropy_hi,masakhapos
recall,0.9169420149011985,ha,entropy_hi,masakhapos
f1,0.9163348293963216,ha,entropy_hi,masakhapos
precision,0.7990155865463495,ig,entropy_hi,masakhaner
recall,0.8261238337574215,ig,entropy_hi,masakhaner
f1,0.8123436196830692,ig,entropy_hi,masakhaner
precision,0.7335588248929357,ig,entropy_hi,AfriSenti-Twitter
recall,0.7237914177077676,ig,entropy_hi,AfriSenti-Twitter
f1,0.7286423898949791,ig,entropy_hi,AfriSenti-Twitter
precision,0.7745120651871223,ig,entropy_hi,sib200
recall,0.7696078431372549,ig,entropy_hi,sib200
f1,0.7720521661031834,ig,entropy_hi,sib200
precision,0.835193078120508,ig,entropy_hi,masakhanews
recall,0.8333333333333334,ig,entropy_hi,masakhanews
f1,0.8342621692882256,ig,entropy_hi,masakhanews
precision,0.8368405001524856,ig,entropy_hi,masakhaner2
recall,0.8466522678185745,ig,entropy_hi,masakhaner2
f1,0.841717791411043,ig,entropy_hi,masakhaner2
precision,0.8223845505686992,ig,entropy_hi,masakhapos
recall,0.780376808956039,ig,entropy_hi,masakhapos
f1,0.8008301766120064,ig,entropy_hi,masakhapos
precision,0.5576972337459445,sw,entropy_hi,AfriSenti-Twitter
recall,0.5882352941176471,sw,entropy_hi,AfriSenti-Twitter
f1,0.5725593581548019,sw,entropy_hi,AfriSenti-Twitter
precision,0.8164484447760781,sw,entropy_hi,sib200
recall,0.8137254901960784,sw,entropy_hi,sib200
f1,0.8150846933478757,sw,entropy_hi,sib200
precision,0.7984492408812937,sw,entropy_hi,masakhanews
recall,0.7941176470588235,sw,entropy_hi,masakhanews
f1,0.7962775532582823,sw,entropy_hi,masakhanews
precision,0.8818322637751715,sw,entropy_hi,masakhaner2
recall,0.9203233256351039,sw,entropy_hi,masakhaner2
f1,0.9006667420047463,sw,entropy_hi,masakhaner2
precision,0.9163926213332685,sw,entropy_hi,masakhapos
recall,0.9196217494089834,sw,entropy_hi,masakhapos
f1,0.9180043457233825,sw,entropy_hi,masakhapos
precision,0.6804780876494024,yo,entropy_hi,masakhaner
recall,0.7564216120460585,yo,entropy_hi,masakhaner
f1,0.7164429530201342,yo,entropy_hi,masakhaner
precision,0.6970392072325621,yo,entropy_hi,AfriSenti-Twitter
recall,0.6775193798449612,yo,entropy_hi,AfriSenti-Twitter
f1,0.6871406949861704,yo,entropy_hi,AfriSenti-Twitter
precision,0.5582520576822981,yo,entropy_hi,sib200
recall,0.553921568627451,yo,entropy_hi,sib200
f1,0.5560783823060347,yo,entropy_hi,sib200
precision,0.8618400338748999,yo,entropy_hi,masakhanews
recall,0.8613138686131386,yo,entropy_hi,masakhanews
f1,0.8615768709117049,yo,entropy_hi,masakhanews
precision,0.8223715794527124,yo,entropy_hi,masakhaner2
recall,0.8526630164260827,yo,entropy_hi,masakhaner2
f1,0.8372434017595308,yo,entropy_hi,masakhaner2
precision,0.9305731244292005,yo,entropy_hi,masakhapos
recall,0.9299095048705978,yo,entropy_hi,masakhapos
f1,0.9302411962959538,yo,entropy_hi,masakhapos
precision,0.5052950075642966,am,entropy_hi,masakhaner
recall,0.5985663082437276,am,entropy_hi,masakhaner
f1,0.5479901558654635,am,entropy_hi,masakhaner
precision,0.1484756174822535,am,entropy_hi,AfriSenti-Twitter
recall,0.13806903451725863,am,entropy_hi,AfriSenti-Twitter
f1,0.1430833555055388,am,entropy_hi,AfriSenti-Twitter
precision,0.8609441681250191,am,entropy_hi,masakhanews
recall,0.8617021276595744,am,entropy_hi,masakhanews
f1,0.861322981142263,am,entropy_hi,masakhanews
precision,0.6681896582567377,sn,entropy_hi,sib200
recall,0.6470588235294118,sn,entropy_hi,sib200
f1,0.657454496475021,sn,entropy_hi,sib200
precision,0.9007793563909237,sn,entropy_hi,masakhanews
recall,0.8997289972899729,sn,entropy_hi,masakhanews
f1,0.9002538704674623,sn,entropy_hi,masakhanews
precision,0.9007786988193921,sn,entropy_hi,masakhaner2
recall,0.9302204928664073,sn,entropy_hi,masakhaner2
f1,0.9152628892291985,sn,entropy_hi,masakhaner2
