id,mean_word_length
60,3.9859154929577465
61,4.09375
62,3.913793103448276
63,4.454545454545454
64,4.069230769230769
65,3.8958333333333335
66,3.859375
67,4.326388888888889
68,4.67
69,4.179829890643985
70,4.28193832599119
71,4.709677419354839
72,5.075
73,4.285714285714286
74,4.731481481481482
75,4.635477582846004
76,4.996527777777778
77,4.98019801980198
79,4.241666666666666
80,4.141176470588236
81,4.0
82,4.413333333333333
83,4.798586572438163
84,3.9679144385026737
85,3.727272727272727
86,3.6917744916820703
87,3.9753289473684212
88,4.701168614357262
89,4.184692179700499
90,4.464285714285714
91,4.878787878787879
92,4.292011019283747
93,3.888157894736842
94,4.266666666666667
95,4.061946902654867
96,3.710843373493976
97,4.5119760479041915
98,4.31275720164609
99,4.463917525773196
100,4.553846153846154
101,4.502732240437158
102,4.828767123287672
103,4.675799086757991
104,4.2191558441558445
105,4.8604651162790695
106,4.376237623762377
107,4.578512396694215
108,4.675675675675675
109,4.220183486238532
110,3.9093198992443323
111,4.323529411764706
113,3.8263473053892216
114,4.301369863013699
115,4.507692307692308
116,3.8870967741935485
117,4.7444444444444445
118,3.830769230769231
119,4.5703125
120,3.9393939393939394
121,4.235294117647059
122,4.303225806451613
123,4.12987012987013
124,4.827272727272727
125,4.055555555555555
126,4.127589063794532
127,4.360730593607306
128,4.536231884057971
129,4.529093369418133
130,4.493392070484582
131,3.96875
132,4.427777777777778
133,4.666666666666667
134,4.565789473684211
135,4.282051282051282
136,4.214285714285714
137,4.392857142857143
138,4.394230769230769
139,3.823529411764706
140,4.519230769230769
141,4.545243619489559
143,5.344827586206897
144,4.138257575757576
145,4.186046511627907
146,4.404255319148936
148,5.0227272727272725
150,5.102857142857143
151,4.513274336283186
153,4.628607277289837
155,4.407725321888412
156,4.12
157,3.8651841556636555
158,4.121661721068249
160,3.2142857142857144
161,4.107843137254902
162,4.284497444633731
163,4.895833333333333
164,5.125
165,4.5
166,4.324324324324325
167,4.21875
168,3.891891891891892
169,4.0203862660944205
170,4.25
