id,trigrams
605,45
607,393
608,5769
612,1434
613,64
614,6415
615,8506
617,171
623,3437
624,4804
628,1821
646,43
647,84
649,22
651,41
653,28
654,35
661,105
663,48
664,72
665,43
666,89
668,110
669,70
671,3407
674,42
675,14
677,47
678,31
679,32
680,22
683,150
690,230
695,593
696,14699
697,24796
714,14644
728,2548
754,124
756,28
757,30
758,42
759,100
760,30
761,355
762,952
769,2500
770,66
771,60
773,409
775,86
776,73
777,56
778,111
786,102
787,157
789,79
793,53972
795,215
796,192
797,648
801,429
802,167
803,196
804,182
805,264
806,237
807,299
808,203
809,310
810,266
811,92
812,78
813,250
814,327
815,174
816,251
817,150
818,184
820,410
821,355
822,215
823,356
824,200
825,335
826,155
827,291
828,224
829,167
830,295
831,77
832,74
833,83
836,50
837,38
839,147
842,261
843,213
844,180
846,5464
847,8893
849,1156
853,238
855,186
857,73
861,100
865,725
871,644
874,224
875,471
1059,36
1060,8
1064,131
1066,163
1070,326
1072,1003
1074,2622
1075,179
1079,5381
1080,4154
1081,4727
1082,972
1083,1105
1084,8088
1085,1215
1086,11846
1087,1762
1088,9612
1090,400
1092,2192
1093,210
1097,1366
1098,746
1099,2256
1103,1876
1104,29702
1105,574
1116,450
1120,202
1131,1134
1132,1171
1133,64
1135,49
1136,152
1140,738
1386,598
1392,293
1393,191
1395,20
1396,485
1397,1456
1410,3965
1414,982
1569,8983
1570,170
1571,271
1572,296
1573,274
1574,354
1575,214
1581,350
1582,149
1583,287
1584,95
1585,128
1586,5744
1597,55
1607,696
1608,314
1611,298
1620,261
2059,401
2067,87
2072,2588
2073,67
2075,301
2080,3805
2081,7268
2082,2165
2109,16039
2115,4745
2126,278
2131,1
2152,2542
2153,4504
2165,362
2166,1626
2169,2776
2170,4750
2171,512
2172,3524
2173,3724
2174,242
2176,6222
2177,3454
2178,7073
2184,827
2185,1640
2186,961
2187,2851
2188,80
2189,1304
2190,335
2191,2297
2192,511
2193,2008
2194,102
2195,48
2196,69
2198,1392
2199,481
2200,93
2201,89
2202,103
2204,1049
2205,63
2206,148
2207,80
2208,1450
2209,1699
2210,90
2211,4796
2212,105
2213,4021
2214,1098
2216,105
2217,645
2219,287
2222,150
2223,617
2224,709
2225,200
2226,257
2227,220
2228,191
2229,5892
2230,297
2231,99
2234,105
2235,163
2236,87
2237,3652
2239,57
2240,598
2241,203
2242,448
2243,310
2245,182
2246,130
2248,44
2249,831
2252,64
2257,109
2258,2496
2259,392
2260,75
2262,226
2263,2582
2264,2031
2265,679
2266,577
2267,668
2268,615
2269,103
2270,86
2271,1772
2272,391
2273,2931
2274,2468
2275,693
2277,3115
2278,84
2279,102
2281,159
2282,5152
2283,95
2284,96
2285,180
2286,107
2287,56
2288,65
2289,109
2290,134
2291,303
2292,84
2294,2466
2295,536
2296,179
2297,117
2298,110
2299,100
2301,91
2302,88
2304,274
2307,212
2308,356
2309,239
2311,165
2312,95
2313,803
2315,521
2317,141
2318,519
2322,446
2323,657
2325,608
2326,140
2327,5945
2329,73
2332,350
2333,177
2337,93
2338,225
2339,271
2342,180
2347,238
2353,54
2360,394
2361,521
2369,33
2372,3431
2373,240
2374,260
2375,8
2382,87
2384,13249
2477,2340
2483,3
2489,1018
2501,567
2502,3468
2503,31
2504,21
2505,9
2506,48
2507,22
2508,22
2509,21
2510,29
2511,20
2517,794
2518,274
2519,3
2520,53
2522,140
2523,1158
2525,92
2529,3296
2532,187
2533,224
2535,3928
2537,157
2541,94
2545,1187
2548,724
2556,1699
2562,442
2563,19
2591,740
2643,2171
2652,1484
2654,1205
2656,1216
2657,1222
2675,2332
2687,6741
2695,1357
2697,2409
2698,247
2700,31031
2701,9732
2704,1151
2705,5146
2706,4519
2707,4641
2708,3893
2709,3642
2710,3364
2712,2646
2718,5710
2720,384
2727,73
2734,389
2738,1576
2757,931
2802,28
2820,4236
2821,2362
2823,740
2824,2382
2847,3495
2860,9
2867,15104
2885,376
2894,80
2896,23
2900,35
2907,749
2914,1152
2925,19
2928,2580
2930,4005
2932,21
2935,420
2937,430
2940,45
2946,54
2947,35
2948,242
2955,1546
2958,3105
2961,1168
2964,140
2966,151
2971,6153
2977,4563
2983,6094
2988,571
2989,3987
3003,15
3004,41
3005,16712
3013,366
3016,2210
3019,13
3020,136
3022,56
3023,505
3027,3564
3032,168
3033,63
3038,3730
3039,1421
3040,44
3107,222
3108,217
3114,1593
3117,382
3133,1568
3137,58
3138,59
3139,59
3142,59
3270,48
3272,5
3274,570
3276,70
3279,294
3280,732
3288,1199
3295,49
3305,961
3307,586
3308,167
3309,710
3341,134
3342,240
3343,340
3344,225
3345,193
3346,430
3347,254
3348,248
3349,197
3350,233
3351,358
3352,333
3353,135
3354,251
3355,202
3356,269
3357,285
3358,344
3359,221
3360,151
3361,240
3363,735
3370,1139
3392,1199
3396,301
3408,5
3458,51
3461,3352
3464,2370
3476,2378
3488,485
3501,167
3520,44
3525,1596
3530,12
3545,262
3563,556
3576,4167
3578,2148
3580,289
3596,687
3604,337
3608,90
3609,63
3611,97
3626,47
3640,498
3656,5653
3660,342
3665,388
3666,84
3669,241
3671,50
3678,11701
3680,175
3682,187
3686,112
3688,2259
3689,1568
3695,103
3698,47
3699,242
3701,7
3706,331
3752,2386
3755,2614
3761,1161
3766,90
3767,4398
